Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1926,-.10,.03,-.21,.03,.02,-.40,.57,.16,-.21,.02,.03,-.34,-.45,-.62
1927,-.21,-.13,-.29,-.13,-.15,-.38,.02,-.21,-.12,-.13,-.18,-.30,-.45,-1.36
1928,-.19,-.09,-.29,-.06,-.15,-.39,.71,-.16,-.22,-.13,-.16,-.28,-.48,-2.10
1929,-.36,-.33,-.38,-.38,-.27,-.45,.14,-.61,-.38,-.26,-.28,-.42,-.44,-1.06
1930,-.15,-.01,-.29,.04,-.10,-.42,.54,.04,-.11,-.08,-.12,-.32,-.47,-2.58
1931,-.09,.05,-.21,.01,.08,-.42,.57,-.04,-.14,.10,.05,-.41,-.40,-.39
1932,-.16,-.05,-.26,.04,-.16,-.34,.49,.20,-.21,-.18,-.14,-.20,-.53,-.97
1933,-.28,-.25,-.32,-.24,-.28,-.34,-.16,-.46,-.12,-.28,-.28,-.21,-.48,-1.13
1934,-.12,.00,-.25,.18,-.25,-.26,.88,.31,-.12,-.26,-.25,-.15,-.38,-.55
1935,-.20,-.09,-.30,-.05,-.18,-.37,.35,-.05,-.16,-.16,-.20,-.30,-.41,-1.70
1936,-.15,-.03,-.26,-.03,-.13,-.30,.40,.11,-.25,-.04,-.21,-.26,-.33,-.02
1937,-.03,.12,-.17,.20,-.05,-.22,1.24,.03,-.02,.01,-.11,-.19,-.26,.38
1938,.00,.16,-.18,.39,-.23,-.10,1.51,.39,.03,-.18,-.28,-.06,-.11,-.85
1939,-.02,.09,-.13,.23,-.12,-.12,.57,.28,.08,-.11,-.13,-.04,-.19,-1.58
1940,.13,.18,.09,.11,.29,-.06,1.00,-.02,-.09,.28,.29,.03,-.20,-.04
1941,.19,.23,.17,.01,.50,-.05,.01,-.09,.08,.55,.44,.04,-.15,-.45
1942,.07,.13,.01,.13,.08,-.01,.73,-.06,.06,.12,.04,.06,-.05,-.88
1943,.09,.18,-.01,.37,-.08,.04,1.42,.28,.11,-.10,-.07,.07,.00,1.15
1944,.20,.27,.14,.38,.19,.05,1.18,.47,.09,.11,.26,.19,-.10,-.92
1945,.09,.11,.09,.11,.17,-.03,.63,-.03,.04,.10,.24,.04,.00,-1.75
1946,-.07,.03,-.17,.07,-.05,-.24,-.02,-.05,.17,-.02,-.08,-.22,-.24,-.14
1947,-.03,.08,-.13,.16,-.06,-.16,1.07,-.13,.05,-.03,-.09,-.19,-.08,-.18
1948,-.11,-.02,-.20,.13,-.18,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.35
1949,-.11,-.03,-.19,.11,-.19,-.23,.21,.17,.05,-.23,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.21,-.05,-.29,-.14,.19,-.30,.04,-.30,-.28,-.06,-.16,-.85
1951,-.07,.05,-.18,.08,-.06,-.23,.09,.01,.12,.00,-.12,-.22,-.16,-.68
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.19,-.01,.04,-.10,-.02,-.48
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.08
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.79
1955,-.14,-.09,-.21,.04,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.23
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.38,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.17,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.03,-.10,-.07,-.76
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.07,.24,-.05,-.08,.45,.31,.14,-.04,-.05,.09,-.07,-.66
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.02
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,.00,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.09,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.08
1969,.05,-.03,.15,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.06,.06,.07,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.30,-.22,.03,.16,.43
1972,.01,-.18,.20,-.34,.16,.14,-.37,-.47,-.25,.06,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.02,.08,.30,.21,.08,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.28
1976,-.10,-.21,.01,-.26,-.11,.09,-.07,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.07,.10,.22,.21,.31,.28
1978,.07,.02,.12,-.03,.08,.16,-.16,.04,-.04,.10,.06,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.61,.06,.09,.25,.27,.30,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.03,.33,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.09,.22,.15,.28,.38,.61
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.06,.29,.58,.21,.41,.04
1984,.16,.04,.28,.02,.18,.26,.37,.08,-.13,.07,.30,.16,.32,.52
1985,.12,.00,.24,-.03,.09,.30,.39,-.26,-.01,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.23,.19,.01,.28,.03,.17,.28,.25,.25,-.11
1987,.32,.25,.41,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.41,.41,.38,.39,.59,.57,.24,.32,.43,.38,.20,.87
1989,.27,.27,.28,.41,.13,.33,.34,.69,.26,.06,.19,.36,.30,.35
1990,.45,.53,.37,.63,.37,.37,.59,.88,.49,.38,.37,.37,.37,.38
1991,.41,.41,.40,.47,.37,.39,.76,.66,.26,.32,.41,.31,.29,.96
1992,.22,.14,.31,.10,.28,.26,-.16,.44,-.03,.20,.37,.20,.33,.38
1993,.23,.19,.28,.13,.32,.22,.55,.29,-.11,.29,.36,.26,.39,-.30
1994,.32,.37,.26,.44,.31,.20,.35,.50,.42,.28,.34,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.32,.99,.32,.40,.46,.29,.15,.15
1996,.33,.26,.39,.24,.32,.43,.78,.17,.10,.31,.33,.33,.28,1.20
1997,.46,.52,.41,.54,.51,.33,.77,.91,.23,.49,.53,.42,.36,-.01
1998,.61,.70,.52,.78,.69,.33,.87,.94,.66,.59,.80,.39,.31,.16
1999,.39,.48,.29,.71,.21,.30,.41,.80,.74,.15,.26,.46,.19,.04
2000,.40,.50,.29,.70,.25,.29,.98,.80,.55,.20,.29,.42,.10,.27
2001,.54,.64,.44,.81,.42,.43,1.08,.86,.69,.40,.45,.58,.24,.32
2002,.63,.71,.54,.83,.59,.47,1.27,1.00,.58,.54,.64,.49,.31,.77
2003,.62,.75,.50,.84,.64,.37,1.51,.99,.54,.61,.67,.44,.24,.43
2004,.54,.66,.42,.73,.55,.33,.48,.96,.66,.56,.54,.48,.23,.04
2005,.68,.86,.51,1.02,.62,.42,2.00,1.23,.57,.62,.63,.49,.18,.70
2006,.64,.82,.47,.99,.56,.40,1.74,1.06,.70,.56,.56,.51,.19,.48
2007,.67,.85,.48,1.13,.47,.48,2.12,1.32,.69,.44,.49,.50,.07,1.28
2008,.55,.68,.41,.92,.38,.40,1.55,1.08,.61,.33,.43,.53,.08,.62
2009,.66,.73,.60,.78,.68,.52,1.43,.60,.68,.65,.72,.60,.15,1.00
2010,.73,.90,.55,1.03,.69,.48,2.23,.87,.74,.71,.66,.64,.20,.49
2011,.61,.74,.47,.99,.37,.55,2.35,.94,.58,.38,.36,.64,.18,1.02
2012,.65,.81,.48,1.05,.53,.41,2.22,.93,.74,.47,.59,.56,.19,.33
2013,.68,.80,.56,.95,.58,.54,1.56,1.05,.70,.58,.59,.63,.22,.91
2014,.75,.92,.58,1.08,.67,.52,2.04,1.14,.74,.69,.66,.72,.18,.56
2015,.90,1.18,.63,1.32,.96,.40,1.99,1.48,1.00,.97,.95,.75,.18,-.36
2016,1.02,1.31,.73,1.55,1.02,.49,3.24,1.44,1.08,.95,1.08,.67,.25,.37
2017,.93,1.18,.67,1.40,.83,.59,2.53,1.38,1.04,.87,.79,.76,.35,.52
2018,.85,1.04,.66,1.25,.69,.68,2.16,1.10,1.06,.73,.64,.80,.37,.92
2019,.99,1.22,.76,1.42,.91,.65,2.71,1.44,1.00,.91,.90,.75,.39,.86
